89,154,189,59,102,125,11853,3853,972,130,39,31,0,400,13138,18165,
84,145,182,55,96,121,11496,3675,901,146,41,30,0,400,13128,18164,
58,89,104,38,59,74,7644,2445,473,69,14,12,0,400,13218,18194,
71,123,140,46,82,92,9888,3099,765,78,26,8,15,423,13193,18177,
77,121,154,51,80,102,9675,3197,719,102,38,27,0,400,13177,18153,
83,140,163,55,93,108,11022,3526,859,112,25,19,0,400,12855,17947,
73,122,150,48,80,99,10155,3208,724,110,33,28,0,400,13136,18118,
71,104,122,47,69,81,9093,2889,603,58,20,13,0,400,13150,18158,
57,99,113,37,65,77,7719,2500,599,62,14,10,0,400,13252,18218,
61,98,116,40,65,78,8286,2574,590,69,20,14,0,400,13264,18215,
43,73,89,31,51,68,5739,1879,421,62,20,14,5,408,13274,18210,
39,57,68,29,44,58,5466,1704,322,32,11,9,0,400,13237,18194,
33,49,55,27,40,51,4482,1389,284,19,6,3,0,400,13242,18192,
26,37,41,23,34,41,3558,1096,204,11,4,4,0,400,13199,18140,
39,64,72,30,47,61,5328,1667,387,41,8,7,0,400,13136,18108,
42,69,72,31,49,61,5940,1838,401,31,4,2,0,400,13200,18139,
44,69,78,32,49,63,5865,1834,394,42,10,8,0,400,13256,18172,
35,57,63,28,44,56,4551,1493,339,19,6,6,0,400,13155,18108,
33,52,62,27,42,55,4527,1482,298,28,10,7,0,400,13155,18130,
22,30,35,21,30,35,2925,905,188,13,5,3,0,400,13266,18202,
18,26,32,18,26,32,2718,850,154,10,6,6,0,400,13308,18227,
32,48,50,27,40,48,4422,1351,258,17,1,1,0,400,13203,18168,
26,44,50,23,38,48,3927,1185,292,30,6,4,0,400,13167,18118,
26,40,43,23,35,43,3531,1087,256,20,3,1,0,400,13176,18131,
29,46,55,25,39,51,4224,1305,246,32,12,7,0,400,13194,18157,
49,75,79,33,51,63,6762,2150,415,31,3,3,0,400,13240,18187,
47,68,80,33,49,64,6192,1958,387,31,14,13,0,400,13219,18178,
43,66,71,31,48,60,5991,1844,371,30,5,4,0,400,13176,18158,
43,65,66,31,47,57,6003,1863,378,24,2,1,0,400,13195,18162,
40,59,62,30,45,55,5238,1649,317,17,2,2,0,400,13278,18230,
43,62,68,31,46,58,5664,1800,330,19,7,5,0,400,13266,18227,
35,54,62,28,43,55,4698,1520,328,28,10,8,0,400,13283,18231,
30,39,42,26,35,42,4152,1305,166,9,3,1,0,400,13271,18245,
28,39,42,24,35,42,4077,1227,219,8,3,2,0,400,13272,18240,
24,35,38,22,33,38,3369,1053,188,14,3,3,0,400,13223,18232,
25,31,35,22,30,35,3309,1058,154,7,4,4,0,400,13237,18277,
23,31,31,22,30,31,3177,1002,142,5,0,0,0,400,13223,18274,
31,46,54,26,39,50,4068,1341,272,19,8,7,0,400,13146,18251,
47,79,89,33,53,68,6498,2132,454,42,9,9,0,400,13143,18264,
36,54,58,28,43,53,4695,1548,313,22,3,3,0,400,13120,18245,
44,71,77,32,50,63,6360,1957,378,38,6,3,0,400,13186,18272,
30,42,45,26,37,45,4122,1316,226,8,3,3,0,400,13164,18240,
22,27,28,21,27,28,2904,908,130,3,1,1,0,400,13085,18158,
25,39,44,23,35,44,3228,1035,226,25,4,4,0,400,13088,18157,
29,46,47,25,39,46,4122,1260,254,13,2,2,0,400,13100,18158,
31,44,46,26,38,45,4293,1344,246,2,2,2,0,400,13098,18142,
24,34,37,22,32,37,3369,1083,174,12,3,1,0,400,13092,18130,
15,18,19,15,18,19,2076,626,98,3,0,0,0,400,13144,18164,
13,19,20,13,19,20,2025,615,100,6,1,1,0,400,12966,18026,
19,22,26,19,22,26,2373,773,110,4,4,4,0,400,13079,18082,
29,47,52,25,39,49,4104,1327,249,30,6,4,0,400,13046,18077,
53,87,101,35,57,73,7179,2293,490,60,15,14,106,637,12860,17929,
45,68,73,32,48,61,6381,1964,349,34,4,4,64,548,12937,17981,
57,90,98,37,59,72,7935,2462,474,46,7,5,0,400,12974,18018,
68,110,128,45,73,85,9351,2958,635,84,17,15,0,400,12974,18001,
104,153,165,68,101,109,13893,4419,828,61,14,11,0,400,13010,18021,
90,140,154,59,93,102,12189,3895,785,86,10,9,0,400,12972,17987,
144,220,266,95,146,177,19017,6168,1271,160,60,46,0,400,13105,18090,
93,140,153,61,93,101,12687,4022,788,62,12,10,0,400,12914,18017,
179,271,311,119,180,207,23880,7697,1583,194,45,31,0,400,13014,18074,
138,209,240,91,138,159,18309,5906,1195,148,35,20,0,400,13062,18111,
117,170,192,77,113,127,14937,4901,978,86,23,19,0,400,13087,18135,
